,UKREIS,UJAHR,UMONAT,UWOCHENTAG,USTUNDE,UKATEGORIE,UART,UTYP1,IstRad,IstPKW,IstFuss,IstKrad,IstGkfz,IstSonstig,ULICHTVERH,STRZUSTAND,longitude,latitude,Stadtteil,Ortsteil,geometry
109,11,2016,3,3,17,3,5,3,1,1,0,0,0,0,0,1,8.877636687,53.08027857,Vahr,Neue Vahr Südwest,POINT (8.877636687000001 53.08027857)
110,12,2016,3,3,10,2,5,2,1,1,0,0,0,0,0,0,8.600023545,53.570172904,Lehe,Königsheide,POINT (8.600023545000001 53.570172904)
111,11,2016,3,1,15,3,0,3,1,1,0,0,0,0,0,0,8.605416861,53.178761422,Vegesack,Fähr-Lobbendorf,POINT (8.605416861 53.178761422)
112,11,2016,4,6,14,3,5,3,1,1,0,0,0,0,0,0,8.862920381,53.090309473,Schwachhausen,Riensberg,POINT (8.862920381 53.090309473)
113,11,2016,4,3,14,3,5,3,1,1,0,0,0,0,0,0,8.675495965,53.173586747,Burglesum,Lesum,POINT (8.675495965 53.173586747)
114,11,2016,3,4,9,3,5,2,1,1,0,0,0,0,0,0,8.76082884,53.112974928,Gröpelingen,Lindenhof,POINT (8.76082884 53.112974928)
115,11,2016,3,5,16,3,0,7,1,0,0,0,0,0,0,0,8.956267167,53.066453751,Osterholz,Tenever,POINT (8.956267167 53.066453751)
116,11,2016,4,2,8,3,5,3,1,1,0,0,0,0,0,1,8.675242819,53.173603239,Burglesum,St.Magnus,POINT (8.675242818999999 53.173603239)
117,12,2016,3,2,14,3,6,7,1,0,1,0,0,0,0,0,8.590812933,53.537200531,Geestemünde,Buschkämpen,POINT (8.590812933 53.537200531)
118,11,2016,4,1,23,3,0,1,1,0,0,0,0,0,2,0,8.848026556,53.050935324,Obervieland,Habenhausen,POINT (8.848026556000001 53.050935324)
119,11,2016,3,4,8,3,5,3,1,1,0,0,0,0,0,0,8.812179567,53.07909368,Mitte,Bahnhofsvorstadt,POINT (8.812179566999999 53.07909368)
120,11,2016,4,1,18,3,5,3,1,1,0,0,0,0,0,0,8.845333518,53.091101644,Schwachhausen,Neu-Schwachhausen,POINT (8.845333518 53.091101644)
121,11,2016,3,4,13,3,5,3,1,1,0,0,0,0,0,0,8.838011301,53.067867077,Östliche Vorstadt,Peterswerder,POINT (8.838011301 53.067867077)
122,11,2016,4,1,14,3,4,6,1,0,0,0,0,0,0,0,8.837167228,53.107344156,Horn-Lehe,Lehe,POINT (8.837167228 53.107344156)
123,11,2016,4,1,19,3,5,3,1,1,0,0,0,0,0,0,8.75838678,53.057058776,Huchting,Grolland,POINT (8.75838678 53.057058776)
124,11,2016,4,2,16,3,5,3,1,1,0,0,0,0,0,0,8.86427579,53.098198005,Horn-Lehe,Horn,POINT (8.864275790000001 53.098198005)
125,11,2016,3,3,18,3,5,3,1,1,0,0,0,0,0,1,8.808939254,53.083176242,Mitte,Bahnhofsvorstadt,POINT (8.808939254 53.083176242)
126,11,2016,3,4,16,2,0,1,1,0,0,0,0,0,0,0,8.901800849,53.075077333,Hemelingen,Sebaldsbrück,POINT (8.901800849000001 53.075077333)
127,11,2016,3,5,11,3,0,1,1,0,0,0,0,0,0,0,8.772738675,53.100526259,Walle,Überseestadt,POINT (8.772738674999999 53.100526259)
128,11,2016,4,1,20,2,0,1,1,0,0,0,0,0,2,0,8.703137511,53.162087334,Burglesum,Burgdamm,POINT (8.703137511 53.162087334)
129,11,2016,3,7,19,3,5,3,1,0,0,0,0,1,2,0,8.932752082,53.065173404,Osterholz,Ellener Feld,POINT (8.932752082 53.065173404)
130,11,2016,4,4,16,3,5,3,1,1,0,0,0,0,0,0,8.717234463,53.172910747,Burglesum,Burgdamm,POINT (8.717234463 53.172910747)
131,11,2016,3,3,8,3,5,3,1,1,0,0,0,0,0,1,8.802333186,53.090763669,Findorff,Findorff-Bürgerweide,POINT (8.802333186 53.090763669)
132,12,2016,3,3,8,3,5,3,1,1,0,0,0,0,0,0,8.597380595,53.568769813,Lehe,Königsheide,POINT (8.597380595000001 53.568769813)
133,11,2016,4,4,13,3,3,6,1,0,0,0,0,0,0,0,8.859738504,53.089648262,Schwachhausen,Radio Bremen,POINT (8.859738503999999 53.089648262)
134,11,2016,3,7,12,3,5,2,1,1,0,0,0,0,0,0,8.850046479,53.085079966,Schwachhausen,Gete,POINT (8.850046479 53.085079966)
135,11,2016,4,1,15,3,3,1,1,1,0,0,0,0,0,0,8.742437254,53.062911419,Huchting,Mittelshuchting,POINT (8.742437254 53.062911419)
136,11,2016,4,4,19,3,0,7,1,0,0,0,0,0,0,1,8.819437836,53.072574695,Mitte,Ostertor,POINT (8.819437836000001 53.072574695)
137,11,2016,4,4,7,3,1,1,1,1,0,0,0,0,0,1,8.834228235,53.090176902,Schwachhausen,Bürgerpark,POINT (8.834228234999999 53.090176902)
138,11,2016,3,5,10,2,5,2,1,1,0,0,0,0,0,0,8.70846528,53.151837478,Burglesum,Burg-Grambke,POINT (8.70846528 53.151837478)
139,11,2016,4,2,10,3,5,3,1,1,0,0,0,0,0,0,8.702148538,53.168182758,Burglesum,Burgdamm,POINT (8.702148537999999 53.168182758)
140,11,2016,4,1,13,3,5,3,1,1,0,0,0,0,0,0,8.819687247,53.038297648,Obervieland,Kattenturm,POINT (8.819687246999999 53.038297648)
141,11,2016,4,1,0,3,0,7,1,0,0,0,0,0,2,0,8.817882461,53.072374958,Mitte,Ostertor,POINT (8.817882461 53.072374958)
142,11,2016,4,2,15,3,5,3,1,1,0,0,0,0,0,0,8.940559709,53.077595407,,,POINT (8.940559709 53.077595407)
143,11,2016,4,1,16,3,0,1,1,0,0,0,0,0,0,0,8.691802551,53.168278129,Burglesum,Lesum,POINT (8.691802551 53.168278129)
144,11,2016,3,2,16,3,5,3,1,1,0,0,0,0,0,0,8.805024035,53.08371231,Mitte,Bahnhofsvorstadt,POINT (8.805024035000001 53.08371231)
145,11,2016,4,1,5,2,7,1,1,0,0,0,0,1,2,0,8.802034801,53.063799582,Neustadt,Buntentor,POINT (8.802034801 53.063799582)
146,12,2016,3,1,20,3,0,7,1,0,0,0,0,0,1,1,8.592963608,53.556455765,Lehe,Königsheide,POINT (8.592963608 53.556455765)
147,11,2016,3,6,18,3,5,3,1,1,0,0,0,0,1,0,8.78897662,53.073130957,Neustadt,Alte Neustadt,POINT (8.78897662 53.073130957)
148,11,2016,4,2,19,3,0,7,1,1,0,0,0,0,0,0,8.87917067,53.076257495,Vahr,Gartenstadt Vahr,POINT (8.879170670000001 53.076257495)
149,11,2016,4,4,14,2,5,2,1,1,0,0,0,0,0,0,8.856585417,53.071355158,Hemelingen,Hastedt,POINT (8.856585417 53.071355158)
150,11,2016,4,2,8,3,4,6,1,1,0,0,0,0,0,0,8.899802602,53.047335526,Hemelingen,Hemelingen,POINT (8.899802601999999 53.047335526)
151,11,2016,3,5,7,3,3,6,1,1,0,0,0,0,0,0,8.830795963,53.074397578,Östliche Vorstadt,Steintor,POINT (8.830795963 53.074397578)
152,11,2016,4,6,14,3,2,6,1,1,0,0,0,0,0,0,8.821997548,53.072830997,Mitte,Ostertor,POINT (8.821997548000001 53.072830997)
153,11,2016,4,7,12,3,5,3,1,1,0,0,0,0,0,0,8.844819337,53.033690099,Obervieland,Arsten,POINT (8.844819337000001 53.033690099)
