,UKREIS,UJAHR,UMONAT,UWOCHENTAG,USTUNDE,UKATEGORIE,UART,UTYP1,IstRad,IstPKW,IstFuss,IstKrad,IstGkfz,IstSonstig,ULICHTVERH,STRZUSTAND,longitude,latitude,Stadtteil,Ortsteil
195,11,2016,3,4,15,3,6,4,1,0,1,0,0,0,0,0,8.793023381,53.066730831,Neustadt,Neustadt
196,12,2016,4,3,16,3,5,3,1,1,0,0,0,0,0,0,8.576271694,53.560591661,Lehe (BHV),Goethestrasse
197,11,2016,3,4,18,3,6,4,1,0,1,0,0,0,0,0,8.794004776,53.07429341,Neustadt,Alte Neustadt
198,11,2016,3,3,8,3,0,1,1,0,0,0,0,0,0,0,8.740082978,53.051410946,Huchting,Kirchhuchting
199,11,2016,4,7,19,2,5,3,1,1,0,0,0,0,0,0,8.870557918,53.091363311,Schwachhausen,Radio Bremen
200,11,2016,3,7,20,3,2,5,1,1,0,0,0,0,2,0,8.78845359,53.098416478,Walle,Westend
201,12,2016,3,6,8,2,0,1,1,0,0,0,0,0,0,2,8.571539068,53.557700082,Mitte (BHV),Mitte-Nord
202,11,2016,4,2,19,3,0,1,1,0,0,0,0,0,0,0,8.576165386,53.19034619,Blumenthal,Blumenthal
203,11,2016,3,3,7,3,0,1,1,0,0,0,0,0,0,0,8.820790312,53.051226326,Neustadt,Huckelriede
204,11,2016,3,6,16,3,5,3,1,1,0,0,0,0,0,0,8.797055925,53.071639864,Neustadt,Alte Neustadt
205,11,2016,3,4,15,3,4,6,1,1,0,0,0,0,0,0,8.80351905,53.092870711,Findorff,Findorff-Bürgerweide
206,11,2016,4,3,15,2,0,7,1,0,0,0,0,0,0,1,8.865487388,53.097113612,Horn-Lehe,Horn
207,12,2016,4,4,10,3,5,2,1,1,0,0,0,0,0,1,8.594570333,53.531494331,Geestemünde,Geestendorf
208,11,2016,4,3,14,3,5,2,1,1,0,0,0,0,0,1,8.923333567,53.059412249,Osterholz,Osterholz
209,11,2016,4,5,18,3,4,2,1,1,0,0,0,0,0,0,8.841222963,53.069286328,Östliche Vorstadt,Peterswerder
210,11,2016,3,3,8,3,5,2,1,1,0,0,0,0,0,0,8.826258078,53.079319547,Mitte,Ostertor
211,11,2016,4,7,9,3,5,3,1,1,0,0,0,0,0,0,8.856529946,53.089873862,Schwachhausen,Riensberg
212,11,2016,3,6,18,3,5,3,1,1,0,0,0,0,1,0,8.758040397,53.058190581,Huchting,Grolland
213,11,2016,3,2,7,3,2,7,1,0,0,0,0,1,0,0,8.867994968,53.06959393,Hemelingen,Hastedt
